Year,Country,Medal
1924,AUT,4
1924,BEL,5
1924,CAN,9
1924,FIN,15
1924,FRA,12
1924,GBR,25
1924,NOR,17
1924,SUI,9
1924,SWE,9
1924,USA,13
1928,AUT,6
1928,BEL,1
1928,CAN,12
1928,FIN,4
1928,FRA,2
1928,GBR,1
1928,GER,5
1928,NOR,15
1928,SUI,12
1928,SWE,16
1928,TCH,1
1928,USA,14
1932,AUT,2
1932,CAN,20
1932,FIN,3
1932,FRA,2
1932,GER,21
1932,HUN,2
1932,NOR,10
1932,SUI,8
1932,SWE,3
1932,USA,45
1936,AUT,5
1936,CAN,13
1936,FIN,9
1936,FRA,1
1936,GBR,17
1936,GER,7
1936,HUN,2
1936,NOR,18
1936,SUI,10
1936,SWE,10
1936,USA,16
1948,AUT,8
1948,BEL,6
1948,CAN,20
1948,FIN,9
1948,FRA,5
1948,GBR,2
1948,HUN,2
1948,ITA,1
1948,NOR,13
1948,SUI,28
1948,SWE,13
1948,TCH,17
1948,USA,16
1952,AUT,8
1952,CAN,17
1952,FIN,12
1952,FRA,1
1952,FRG,12
1952,GBR,1
1952,HUN,2
1952,ITA,2
1952,NED,3
1952,NOR,19
1952,SUI,6
1952,SWE,23
1952,USA,30
1956,AUT,12
1956,CAN,20
1956,EUA,2
1956,FIN,12
1956,HUN,2
1956,ITA,8
1956,JPN,1
1956,NOR,4
1956,POL,1
1956,SUI,10
1956,SWE,15
1956,URS,37
1956,USA,26
1960,AUT,6
1960,CAN,21
1960,EUA,9
1960,FIN,13
1960,FRA,3
1960,ITA,1
1960,NED,2
1960,NOR,9
1960,POL,2
1960,SUI,2
1960,SWE,9
1960,TCH,1
1960,URS,42
1960,USA,27
1964,AUT,17
1964,CAN,7
1964,EUA,10
1964,FIN,15
1964,FRA,7
1964,GBR,2
1964,ITA,10
1964,NED,2
1964,NOR,15
1964,PRK,1
1964,SWE,28
1964,TCH,17
1964,URS,46
1964,USA,8
1968,AUT,15
1968,CAN,20
1968,FIN,8
1968,FRA,9
1968,FRG,10
1968,GDR,6
1968,ITA,8
1968,NED,9
1968,NOR,22
1968,ROU,2
1968,SUI,9
1968,SWE,16
1968,TCH,21
1968,URS,37
1968,USA,7
1972,AUT,5
1972,CAN,1
1972,ESP,1
1972,FIN,10
1972,FRA,3
1972,FRG,10
1972,GDR,20
1972,ITA,9
1972,JPN,3
1972,NED,9
1972,NOR,17
1972,POL,1
1972,SUI,17
1972,SWE,4
1972,TCH,20
1972,URS,45
1972,USA,25
1976,AUT,7
1976,CAN,3
1976,FIN,16
1976,FRA,1
1976,FRG,32
1976,GBR,1
1976,GDR,32
1976,ITA,4
1976,LIE,2
1976,NED,6
1976,NOR,10
1976,SUI,9
1976,SWE,2
1976,TCH,18
1976,URS,56
1976,USA,11
1980,AUT,8
1980,BUL,1
1980,CAN,2
1980,FIN,12
1980,FRA,1
1980,FRG,8
1980,GBR,1
1980,GDR,39
1980,HUN,2
1980,ITA,3
1980,JPN,1
1980,LIE,4
1980,NED,4
1980,NOR,16
1980,SUI,9
1980,SWE,22
1980,TCH,1
1980,URS,54
1980,USA,30
1984,AUT,1
1984,CAN,4
1984,FIN,19
1984,FRA,3
1984,FRG,8
1984,GBR,2
1984,GDR,33
1984,ITA,2
1984,JPN,1
1984,LIE,2
1984,NOR,15
1984,SUI,8
1984,SWE,30
1984,TCH,28
1984,URS,56
1984,USA,9
1984,YUG,1
1988,AUT,12
1988,CAN,6
1988,FIN,34
1988,FRA,2
1988,FRG,14
1988,GDR,32
1988,ITA,8
1988,JPN,1
1988,LIE,1
1988,NED,7
1988,NOR,11
1988,SUI,20
1988,SWE,30
1988,TCH,6
1988,URS,67
1988,USA,7
1988,YUG,6
1992,AUT,29
1992,CAN,37
1992,CHN,3
1992,ESP,1
1992,EUN,60
1992,FIN,13
1992,FRA,12
1992,GER,38
1992,ITA,21
1992,JPN,12
1992,KOR,7
1992,LUX,2
1992,NED,4
1992,NOR,28
1992,NZL,1
1992,PRK,1
1992,SUI,7
1992,SWE,7
1992,TCH,28
1992,USA,14
1994,AUS,4
1994,AUT,12
1994,BLR,2
1994,CAN,40
1994,CHN,3
1994,FIN,31
1994,FRA,11
1994,GBR,3
1994,GER,40
1994,ITA,33
1994,JPN,10
1994,KAZ,3
1994,KOR,10
1994,NED,4
1994,NOR,34
1994,RUS,36
1994,SLO,3
1994,SUI,16
1994,SWE,24
1994,UKR,2
1994,USA,21
1994,UZB,1
1998,AUS,1
1998,AUT,20
1998,BEL,1
1998,BLR,2
1998,BUL,1
1998,CAN,49
1998,CHN,14
1998,CZE,24
1998,DEN,5
1998,FIN,59
1998,FRA,15
1998,GBR,4
1998,GER,44
1998,ITA,17
1998,JPN,13
1998,KAZ,2
1998,KOR,12
1998,NED,11
1998,NOR,44
1998,RUS,53
1998,SUI,14
1998,SWE,7
1998,UKR,1
1998,USA,34
2002,AUS,2
2002,AUT,20
2002,BLR,1
2002,BUL,3
2002,CAN,75
2002,CHN,16
2002,CRO,4
2002,CZE,3
2002,EST,3
2002,FIN,13
2002,FRA,15
2002,GBR,6
2002,GER,61
2002,ITA,21
2002,JPN,2
2002,KOR,7
2002,NED,8
2002,NOR,41
2002,POL,2
2002,RUS,40
2002,SLO,4
2002,SUI,24
2002,SWE,26
2002,USA,84
2006,AUS,2
2006,AUT,30
2006,BLR,1
2006,BUL,1
2006,CAN,68
2006,CHN,13
2006,CRO,3
2006,CZE,28
2006,EST,3
2006,FIN,43
2006,FRA,15
2006,GBR,1
2006,GER,54
2006,ITA,25
2006,JPN,1
2006,KOR,19
2006,LAT,1
2006,NED,13
2006,NOR,23
2006,POL,2
2006,RUS,41
2006,SUI,22
2006,SVK,1
2006,SWE,65
2006,UKR,3
2006,USA,53
2010,AUS,3
2010,AUT,26
2010,BLR,3
2010,CAN,91
2010,CHN,20
2010,CRO,3
2010,CZE,9
2010,EST,1
2010,FIN,50
2010,FRA,14
2010,GBR,1
2010,GER,54
2010,ITA,5
2010,JPN,7
2010,KAZ,1
2010,KOR,18
2010,LAT,3
2010,NED,11
2010,NOR,40
2010,POL,8
2010,RUS,25
2010,SLO,3
2010,SUI,13
2010,SVK,3
2010,SWE,19
2010,USA,98
2014,AUS,3
2014,AUT,27
2014,BLR,6
2014,CAN,90
2014,CHN,13
2014,CRO,1
2014,CZE,11
2014,FIN,34
2014,FRA,18
2014,GBR,12
2014,GER,36
2014,ITA,14
2014,JPN,11
2014,KAZ,1
2014,KOR,14
2014,LAT,11
2014,NED,29
2014,NOR,36
2014,POL,11
2014,RUS,68
2014,SLO,8
2014,SUI,32
2014,SVK,1
2014,SWE,55
2014,UKR,5
2014,USA,65
2018,NOR,39
2018,GER,31
2018,CAN,29
2018,USA,23
2018,NLD,20
2018,SWE,14
2018,KOR,17
2018,FRA,15
2018,SWI,15
2018,AUT,14
2018,JAP,13
2018,ITA,10
2018,RUS,17
2018,CZE,7
2018,BLR,3
2018,CHN,9
2018,SVK,3
2018,FIN,6
2018,GBR,5
2018,POL,2
2018,HUN,1
2018,UKR,1
2018,AUS,3
2018,SVN,2
2018,BEL,1
2018,NZL,2
2018,SPA,2
2018,KAZ,1
2018,LAT,1
2018,LIE,1
